Zeitpunkt,Aktion,Kapital
2025-07-01 19:00:00,BUY @ 2025-07-01 19:00:00 – 105398.53,10000.0
2025-07-02 08:00:00,SELL (Signal) @ 2025-07-02 08:00:00 – 107728.99 | PnL: 2330.46,12330.460000000006
2025-07-02 09:00:00,SHORT @ 2025-07-02 09:00:00 – 107636.16,12330.460000000006
2025-07-04 07:00:00,COVER (Signal) @ 2025-07-04 07:00:00 – 108700.00 | PnL: -1063.84,11266.62000000001
2025-07-04 08:00:00,BUY @ 2025-07-04 08:00:00 – 108763.28,11266.62000000001
2025-07-06 14:00:00,SELL (Signal) @ 2025-07-06 14:00:00 – 108933.25 | PnL: 169.97,11436.590000000011
2025-07-07 16:00:00,BUY @ 2025-07-07 16:00:00 – 107976.91,11436.590000000011
2025-07-09 19:00:00,SELL (Signal) @ 2025-07-09 19:00:00 – 111750.00 | PnL: 3773.09,15209.680000000008
2025-07-14 19:00:00,BUY @ 2025-07-14 19:00:00 – 119939.41,15209.680000000008
2025-07-16 08:00:00,SELL (Signal) @ 2025-07-16 08:00:00 – 118699.99 | PnL: -1239.42,13970.26000000001
2025-07-18 15:00:00,BUY @ 2025-07-18 15:00:00 – 117860.25,13970.26000000001
2025-07-19 08:00:00,SELL (Signal) @ 2025-07-19 08:00:00 – 118101.82 | PnL: 241.57,14211.830000000016
2025-07-20 13:00:00,SHORT @ 2025-07-20 13:00:00 – 118417.35,14211.830000000016
2025-07-21 20:00:00,COVER (Signal) @ 2025-07-21 20:00:00 – 116939.40 | PnL: 1477.95,15689.780000000028
2025-07-22 18:00:00,SHORT @ 2025-07-22 18:00:00 – 119733.69,15689.780000000028
2025-07-23 12:00:00,COVER (Signal) @ 2025-07-23 12:00:00 – 117980.70 | PnL: 1752.99,17442.770000000033
2025-07-23 13:00:00,BUY @ 2025-07-23 13:00:00 – 117381.44,17442.770000000033
2025-07-26 04:00:00,SELL (Signal) @ 2025-07-26 04:00:00 – 117496.81 | PnL: 115.37,17558.14000000003
2025-07-26 05:00:00,SHORT @ 2025-07-26 05:00:00 – 117444.99,17558.14000000003
2025-07-28 16:00:00,COVER (Signal) @ 2025-07-28 16:00:00 – 118028.88 | PnL: -583.89,16974.25000000003
2025-07-28 17:00:00,BUY @ 2025-07-28 17:00:00 – 117667.86,16974.25000000003
2025-07-29 07:00:00,SELL (Signal) @ 2025-07-29 07:00:00 – 118882.37 | PnL: 1214.51,18188.760000000024
2025-07-31 08:00:00,SHORT @ 2025-07-31 08:00:00 – 118593.94,18188.760000000024
2025-07-31 20:00:00,COVER (Signal) @ 2025-07-31 20:00:00 – 116514.00 | PnL: 2079.94,20268.700000000026
2025-08-03 08:00:00,SHORT @ 2025-08-03 08:00:00 – 113692.00,20268.700000000026
Zeitpunkt,Aktion,Kapital
2025-07-01 19:00:00,BUY @ 2025-07-01 19:00:00 – 105398.53,10000.0
2025-07-02 08:00:00,SELL (Signal) @ 2025-07-02 08:00:00 – 107728.99 | PnL: 2330.46,12330.460000000006
2025-07-02 09:00:00,SHORT @ 2025-07-02 09:00:00 – 107636.16,12330.460000000006
2025-07-04 07:00:00,COVER (Signal) @ 2025-07-04 07:00:00 – 108700.00 | PnL: -1063.84,11266.62000000001
2025-07-04 08:00:00,BUY @ 2025-07-04 08:00:00 – 108763.28,11266.62000000001
2025-07-06 14:00:00,SELL (Signal) @ 2025-07-06 14:00:00 – 108933.25 | PnL: 169.97,11436.590000000011
2025-07-07 16:00:00,BUY @ 2025-07-07 16:00:00 – 107976.91,11436.590000000011
2025-07-09 19:00:00,SELL (Signal) @ 2025-07-09 19:00:00 – 111750.00 | PnL: 3773.09,15209.680000000008
2025-07-14 19:00:00,BUY @ 2025-07-14 19:00:00 – 119939.41,15209.680000000008
2025-07-16 08:00:00,SELL (Signal) @ 2025-07-16 08:00:00 – 118699.99 | PnL: -1239.42,13970.26000000001
2025-07-18 15:00:00,BUY @ 2025-07-18 15:00:00 – 117860.25,13970.26000000001
2025-07-19 08:00:00,SELL (Signal) @ 2025-07-19 08:00:00 – 118101.82 | PnL: 241.57,14211.830000000016
2025-07-20 13:00:00,SHORT @ 2025-07-20 13:00:00 – 118417.35,14211.830000000016
2025-07-21 20:00:00,COVER (Signal) @ 2025-07-21 20:00:00 – 116939.40 | PnL: 1477.95,15689.780000000028
2025-07-22 18:00:00,SHORT @ 2025-07-22 18:00:00 – 119733.69,15689.780000000028
2025-07-23 12:00:00,COVER (Signal) @ 2025-07-23 12:00:00 – 117980.70 | PnL: 1752.99,17442.770000000033
2025-07-23 13:00:00,BUY @ 2025-07-23 13:00:00 – 117381.44,17442.770000000033
2025-07-26 04:00:00,SELL (Signal) @ 2025-07-26 04:00:00 – 117496.81 | PnL: 115.37,17558.14000000003
2025-07-26 05:00:00,SHORT @ 2025-07-26 05:00:00 – 117444.99,17558.14000000003
2025-07-28 16:00:00,COVER (Signal) @ 2025-07-28 16:00:00 – 118028.88 | PnL: -583.89,16974.25000000003
2025-07-28 17:00:00,BUY @ 2025-07-28 17:00:00 – 117667.86,16974.25000000003
2025-07-29 07:00:00,SELL (Signal) @ 2025-07-29 07:00:00 – 118882.37 | PnL: 1214.51,18188.760000000024
2025-07-31 08:00:00,SHORT @ 2025-07-31 08:00:00 – 118593.94,18188.760000000024
2025-07-31 20:00:00,COVER (Signal) @ 2025-07-31 20:00:00 – 116514.00 | PnL: 2079.94,20268.700000000026
2025-08-03 08:00:00,SHORT @ 2025-08-03 08:00:00 – 113692.00,20268.700000000026
Zeitpunkt,Aktion,Kapital
2025-07-01 19:00:00,BUY @ 2025-07-01 19:00:00 – 105398.53,10000.0
2025-07-02 08:00:00,SELL (Signal) @ 2025-07-02 08:00:00 – 107728.99 | PnL: 2330.46,12330.460000000006
2025-07-02 09:00:00,SHORT @ 2025-07-02 09:00:00 – 107636.16,12330.460000000006
2025-07-04 07:00:00,COVER (Signal) @ 2025-07-04 07:00:00 – 108700.00 | PnL: -1063.84,11266.62000000001
2025-07-04 08:00:00,BUY @ 2025-07-04 08:00:00 – 108763.28,11266.62000000001
2025-07-06 14:00:00,SELL (Signal) @ 2025-07-06 14:00:00 – 108933.25 | PnL: 169.97,11436.590000000011
2025-07-07 16:00:00,BUY @ 2025-07-07 16:00:00 – 107976.91,11436.590000000011
2025-07-09 19:00:00,SELL (Signal) @ 2025-07-09 19:00:00 – 111750.00 | PnL: 3773.09,15209.680000000008
2025-07-14 19:00:00,BUY @ 2025-07-14 19:00:00 – 119939.41,15209.680000000008
2025-07-16 08:00:00,SELL (Signal) @ 2025-07-16 08:00:00 – 118699.99 | PnL: -1239.42,13970.26000000001
2025-07-18 15:00:00,BUY @ 2025-07-18 15:00:00 – 117860.25,13970.26000000001
2025-07-19 08:00:00,SELL (Signal) @ 2025-07-19 08:00:00 – 118101.82 | PnL: 241.57,14211.830000000016
2025-07-20 13:00:00,SHORT @ 2025-07-20 13:00:00 – 118417.35,14211.830000000016
2025-07-21 20:00:00,COVER (Signal) @ 2025-07-21 20:00:00 – 116939.40 | PnL: 1477.95,15689.780000000028
2025-07-22 18:00:00,SHORT @ 2025-07-22 18:00:00 – 119733.69,15689.780000000028
2025-07-23 12:00:00,COVER (Signal) @ 2025-07-23 12:00:00 – 117980.70 | PnL: 1752.99,17442.770000000033
2025-07-23 13:00:00,BUY @ 2025-07-23 13:00:00 – 117381.44,17442.770000000033
2025-07-26 04:00:00,SELL (Signal) @ 2025-07-26 04:00:00 – 117496.81 | PnL: 115.37,17558.14000000003
2025-07-26 05:00:00,SHORT @ 2025-07-26 05:00:00 – 117444.99,17558.14000000003
2025-07-28 16:00:00,COVER (Signal) @ 2025-07-28 16:00:00 – 118028.88 | PnL: -583.89,16974.25000000003
2025-07-28 17:00:00,BUY @ 2025-07-28 17:00:00 – 117667.86,16974.25000000003
2025-07-29 07:00:00,SELL (Signal) @ 2025-07-29 07:00:00 – 118882.37 | PnL: 1214.51,18188.760000000024
2025-07-31 08:00:00,SHORT @ 2025-07-31 08:00:00 – 118593.94,18188.760000000024
2025-07-31 20:00:00,COVER (Signal) @ 2025-07-31 20:00:00 – 116514.00 | PnL: 2079.94,20268.700000000026
2025-08-03 08:00:00,SHORT @ 2025-08-03 08:00:00 – 113692.00,20268.700000000026
Zeitpunkt,Aktion,Kapital
2025-07-01 19:00:00,BUY @ 2025-07-01 19:00:00 – 105398.53,10000.0
2025-07-02 08:00:00,SELL (Signal) @ 2025-07-02 08:00:00 – 107728.99 | PnL: 2330.46,12330.460000000006
2025-07-02 09:00:00,SHORT @ 2025-07-02 09:00:00 – 107636.16,12330.460000000006
2025-07-04 07:00:00,COVER (Signal) @ 2025-07-04 07:00:00 – 108700.00 | PnL: -1063.84,11266.62000000001
2025-07-04 08:00:00,BUY @ 2025-07-04 08:00:00 – 108763.28,11266.62000000001
2025-07-06 14:00:00,SELL (Signal) @ 2025-07-06 14:00:00 – 108933.25 | PnL: 169.97,11436.590000000011
2025-07-07 16:00:00,BUY @ 2025-07-07 16:00:00 – 107976.91,11436.590000000011
2025-07-09 19:00:00,SELL (Signal) @ 2025-07-09 19:00:00 – 111750.00 | PnL: 3773.09,15209.680000000008
2025-07-14 19:00:00,BUY @ 2025-07-14 19:00:00 – 119939.41,15209.680000000008
2025-07-16 08:00:00,SELL (Signal) @ 2025-07-16 08:00:00 – 118699.99 | PnL: -1239.42,13970.26000000001
2025-07-18 15:00:00,BUY @ 2025-07-18 15:00:00 – 117860.25,13970.26000000001
2025-07-19 08:00:00,SELL (Signal) @ 2025-07-19 08:00:00 – 118101.82 | PnL: 241.57,14211.830000000016
2025-07-20 13:00:00,SHORT @ 2025-07-20 13:00:00 – 118417.35,14211.830000000016
2025-07-21 20:00:00,COVER (Signal) @ 2025-07-21 20:00:00 – 116939.40 | PnL: 1477.95,15689.780000000028
2025-07-22 18:00:00,SHORT @ 2025-07-22 18:00:00 – 119733.69,15689.780000000028
2025-07-23 12:00:00,COVER (Signal) @ 2025-07-23 12:00:00 – 117980.70 | PnL: 1752.99,17442.770000000033
2025-07-23 13:00:00,BUY @ 2025-07-23 13:00:00 – 117381.44,17442.770000000033
2025-07-26 04:00:00,SELL (Signal) @ 2025-07-26 04:00:00 – 117496.81 | PnL: 115.37,17558.14000000003
2025-07-26 05:00:00,SHORT @ 2025-07-26 05:00:00 – 117444.99,17558.14000000003
2025-07-28 16:00:00,COVER (Signal) @ 2025-07-28 16:00:00 – 118028.88 | PnL: -583.89,16974.25000000003
2025-07-28 17:00:00,BUY @ 2025-07-28 17:00:00 – 117667.86,16974.25000000003
2025-07-29 07:00:00,SELL (Signal) @ 2025-07-29 07:00:00 – 118882.37 | PnL: 1214.51,18188.760000000024
2025-07-31 08:00:00,SHORT @ 2025-07-31 08:00:00 – 118593.94,18188.760000000024
2025-07-31 20:00:00,COVER (Signal) @ 2025-07-31 20:00:00 – 116514.00 | PnL: 2079.94,20268.700000000026
2025-08-03 08:00:00,SHORT @ 2025-08-03 08:00:00 – 113692.00,20268.700000000026
Zeitpunkt,Aktion,Kapital
2025-07-02 11:00:00,SHORT @ 2025-07-02 11:00:00 – 107479.99,10000.0
2025-07-04 07:00:00,COVER (Signal) @ 2025-07-04 07:00:00 – 108700.00 | PnL: -1220.01,8779.990000000005
2025-07-04 08:00:00,BUY @ 2025-07-04 08:00:00 – 108763.28,8779.990000000005
2025-07-06 14:00:00,SELL (Signal) @ 2025-07-06 14:00:00 – 108933.25 | PnL: 169.97,8949.960000000006
2025-07-07 16:00:00,BUY @ 2025-07-07 16:00:00 – 107976.91,8949.960000000006
2025-07-09 19:00:00,SELL (Signal) @ 2025-07-09 19:00:00 – 111750.00 | PnL: 3773.09,12723.050000000003
2025-07-14 19:00:00,BUY @ 2025-07-14 19:00:00 – 119939.41,12723.050000000003
2025-07-16 08:00:00,SELL (Signal) @ 2025-07-16 08:00:00 – 118699.99 | PnL: -1239.42,11483.630000000005
2025-07-18 15:00:00,BUY @ 2025-07-18 15:00:00 – 117860.25,11483.630000000005
2025-07-19 08:00:00,SELL (Signal) @ 2025-07-19 08:00:00 – 118101.82 | PnL: 241.57,11725.200000000012
2025-07-20 13:00:00,SHORT @ 2025-07-20 13:00:00 – 118417.35,11725.200000000012
2025-07-21 20:00:00,COVER (Signal) @ 2025-07-21 20:00:00 – 116939.40 | PnL: 1477.95,13203.150000000023
2025-07-22 18:00:00,SHORT @ 2025-07-22 18:00:00 – 119733.69,13203.150000000023
2025-07-23 12:00:00,COVER (Signal) @ 2025-07-23 12:00:00 – 117980.70 | PnL: 1752.99,14956.140000000029
2025-07-23 13:00:00,BUY @ 2025-07-23 13:00:00 – 117381.44,14956.140000000029
2025-07-26 04:00:00,SELL (Signal) @ 2025-07-26 04:00:00 – 117496.81 | PnL: 115.37,15071.510000000024
2025-07-26 05:00:00,SHORT @ 2025-07-26 05:00:00 – 117444.99,15071.510000000024
2025-07-28 16:00:00,COVER (Signal) @ 2025-07-28 16:00:00 – 118028.88 | PnL: -583.89,14487.620000000024
2025-07-28 17:00:00,BUY @ 2025-07-28 17:00:00 – 117667.86,14487.620000000024
2025-07-29 07:00:00,SELL (Signal) @ 2025-07-29 07:00:00 – 118882.37 | PnL: 1214.51,15702.13000000002
2025-07-31 08:00:00,SHORT @ 2025-07-31 08:00:00 – 118593.94,15702.13000000002
2025-07-31 20:00:00,COVER (Signal) @ 2025-07-31 20:00:00 – 116514.00 | PnL: 2079.94,17782.07000000002
2025-08-03 08:00:00,SHORT @ 2025-08-03 08:00:00 – 113692.00,17782.07000000002
Zeitpunkt,Aktion,Kapital
2025-07-07 16:00:00,BUY @ 2025-07-07 16:00:00 – 107976.91,10000.0
2025-07-09 19:00:00,SELL (Signal) @ 2025-07-09 19:00:00 – 111750.00 | PnL: 3773.09,13773.089999999997
2025-07-14 19:00:00,BUY @ 2025-07-14 19:00:00 – 119939.41,13773.089999999997
2025-07-16 08:00:00,SELL (Signal) @ 2025-07-16 08:00:00 – 118699.99 | PnL: -1239.42,12533.669999999998
2025-07-18 15:00:00,BUY @ 2025-07-18 15:00:00 – 117860.25,12533.669999999998
2025-07-19 08:00:00,SELL (Signal) @ 2025-07-19 08:00:00 – 118101.82 | PnL: 241.57,12775.240000000005
2025-07-20 13:00:00,SHORT @ 2025-07-20 13:00:00 – 118417.35,12775.240000000005
2025-07-21 20:00:00,COVER (Signal) @ 2025-07-21 20:00:00 – 116939.40 | PnL: 1477.95,14253.190000000017
2025-07-22 18:00:00,SHORT @ 2025-07-22 18:00:00 – 119733.69,14253.190000000017
2025-07-23 12:00:00,COVER (Signal) @ 2025-07-23 12:00:00 – 117980.70 | PnL: 1752.99,16006.180000000022
2025-07-23 13:00:00,BUY @ 2025-07-23 13:00:00 – 117381.44,16006.180000000022
2025-07-26 04:00:00,SELL (Signal) @ 2025-07-26 04:00:00 – 117496.81 | PnL: 115.37,16121.550000000017
2025-07-26 05:00:00,SHORT @ 2025-07-26 05:00:00 – 117444.99,16121.550000000017
2025-07-28 16:00:00,COVER (Signal) @ 2025-07-28 16:00:00 – 118028.88 | PnL: -583.89,15537.660000000018
2025-07-28 17:00:00,BUY @ 2025-07-28 17:00:00 – 117667.86,15537.660000000018
2025-07-29 07:00:00,SELL (Signal) @ 2025-07-29 07:00:00 – 118882.37 | PnL: 1214.51,16752.170000000013
2025-07-31 08:00:00,SHORT @ 2025-07-31 08:00:00 – 118593.94,16752.170000000013
2025-07-31 20:00:00,COVER (Signal) @ 2025-07-31 20:00:00 – 116514.00 | PnL: 2079.94,18832.110000000015
2025-08-03 08:00:00,SHORT @ 2025-08-03 08:00:00 – 113692.00,18832.110000000015
2025-08-05 06:00:00,COVER (Signal) @ 2025-08-05 06:00:00 – 114178.63 | PnL: -486.63,18345.48000000001
2025-08-06 05:00:00,SHORT @ 2025-08-06 05:00:00 – 114148.01,18345.48000000001
2025-08-07 07:00:00,COVER (Signal) @ 2025-08-07 07:00:00 – 114787.99 | PnL: -639.98,17705.5
